source,target,weight,Class,source-title,target-title,source-publisher, target-publisher,source-time,target-time,from-pub-uri,to-pub-uri,source-url, target-url
English970,English851,0.262,Information-Not-Propagated,Ocean mixing that drives climate found in surprise location,Facebook to Exempt Opinion and Satire From Fact-Checking | The Star,Daily Mail Online,The Star,2019-01-31T23:55:00Z,2019-09-30T21:34:00Z,dailymail.co.uk,thestar.com,https://www.dailymail.co.uk/sciencetech/article-6654619/Ocean-mixing-drives-climate-surprise-location.html,https://www.thestar.com/wsj/technology/2019/09/30/facebook-to-create-fact-checking-exemptions-for-opinion-and-satire.html
English971,English936,0.298,Information-Not-Propagated,Man accused in Super Bowl ticket scam goes missing,Feds to investigate spike in gray whale deaths on West Coast,The Seattle Times,KRON 4 News,2019-01-31T23:54:00Z,2019-05-31T22:10:00Z,seattletimes.com,kron4.com,https://www.seattletimes.com/nation-world/nation/man-accused-in-super-bowl-ticket-scam-goes-missing/,https://www.kron4.com/news/california/feds-to-investigate-spike-in-gray-whale-deaths-on-west-coast-1/2043033291
English972,English968,0.324,Information-Not-Propagated,Warming Arctic On Thin Ice,Even the polar vortex can cause racial tension and bullying,Scientific American,chicagonow.com,2019-01-31T23:44:00Z,2019-01-31T23:58:00Z,scientificamerican.com,chicagonow.com,https://www.scientificamerican.com/podcast/episode/warming-arctic-on-thin-ice/,http://www.chicagonow.com/from-overalls-to-stilettos/2019/01/even-the-polar-vortex-can-cause-racial-tension-and-bullying/
English973,English923,0.283,Information-Not-Propagated,The Wemstroms: Recycling efforts have reverted by 50 years,New Lyceum Lecture Series to present 'Climate Change: What Can We Do About It?' June 4,The Journal-Standard,Daily Herald,2019-01-31T23:40:00Z,2019-05-31T23:59:00Z,journalstandard.com,dailyherald.com,https://www.journalstandard.com/opinion/20190131/wemstroms-recycling-efforts-have-reverted-by-50-years?rssfeed=true,https://www.dailyherald.com/submitted/20190531/new-lyceum-lecture-series-to-present-climate-change-what-can-we-do-about-it-june-4
English974,English8,0.262,Information-Not-Propagated,Attorney seeks hearing in case over police shooting of woman,Letters (April 29- 2020),The Seattle Times,Micah Jakob,2019-01-31T23:40:00Z,2020-04-29T06:47:00Z,seattletimes.com,theava.com,https://www.seattletimes.com/nation-world/nation/attorney-seeks-hearing-in-case-over-police-shooting-of-woman/,https://www.theava.com/archives/124670
English975,English967,0.33,Information-Not-Propagated,Minnesota snow sculptors test limits with Trump piece,Trooper charged in Mississippi crash that killed athlete,The Seattle Times,The Seattle Times,2019-01-31T23:38:00Z,2019-01-31T23:59:00Z,seattletimes.com,seattletimes.com,https://www.seattletimes.com/nation-world/nation/minnesota-snow-sculptors-test-limits-with-trump-piece/,https://www.seattletimes.com/nation-world/nation/trooper-charged-in-mississippi-crash-that-killed-athlete/
English976,English975,0.279,Information-Not-Propagated,UN extends Central African Republic arms embargo,Minnesota snow sculptors test limits with Trump piece,The Seattle Times,The Seattle Times,2019-01-31T23:38:00Z,2019-01-31T23:38:00Z,seattletimes.com,seattletimes.com,https://www.seattletimes.com/nation-world/nation/un-extends-central-african-republic-arms-embargo/,https://www.seattletimes.com/nation-world/nation/minnesota-snow-sculptors-test-limits-with-trump-piece/
English977,English975,0.303,Information-Not-Propagated,A Howard Schultz candidacy? Gen Z says no,Minnesota snow sculptors test limits with Trump piece,The Seattle Times,The Seattle Times,2019-01-31T23:35:00Z,2019-01-31T23:38:00Z,seattletimes.com,seattletimes.com,https://www.seattletimes.com/opinion/letters-to-the-editor/a-howard-schultz-candidacy-gen-z-says-no/,https://www.seattletimes.com/nation-world/nation/minnesota-snow-sculptors-test-limits-with-trump-piece/
English978,English888,0.152,Information-Not-Propagated,Police chief: Houston drug house raid prompted by mom's call,United Nations offers hope in the fight against climate change,The Seattle Times,Wessex FM,2019-01-31T23:35:00Z,2019-07-31T22:36:00Z,seattletimes.com,wessexfm.com,https://www.seattletimes.com/nation-world/nation/police-chief-houston-drug-house-raid-prompted-by-moms-call/,https://www.wessexfm.com/news/world/2924715/united-nations-offers-hope-in-the-fight-against-climate-change/
English979,English975,0.356,Information-Not-Propagated,Trump's intelligence chiefs contradicted him on live TV. Naturally he's blaming the media.,Minnesota snow sculptors test limits with Trump piece,Mother Jones,The Seattle Times,2019-01-31T23:31:00Z,2019-01-31T23:38:00Z,motherjones.com,seattletimes.com,https://www.motherjones.com/politics/2019/01/trumps-intelligence-chiefs-contradicted-him-on-live-tv-naturally-hes-blaming-the-media/,https://www.seattletimes.com/nation-world/nation/minnesota-snow-sculptors-test-limits-with-trump-piece/
English98,English8,0.2,Information-Not-Propagated,Hospitals are scrambling to solve their air pollution issue,Letters (April 29- 2020),Popular Science,Micah Jakob,2017-11-30T18:15:00Z,2020-04-29T06:47:00Z,popsci.com,theava.com,https://www.popsci.com/anesthesia-greenhouse-gas,https://www.theava.com/archives/124670
English980,English884,0.239,Information-Not-Propagated,The US is suffering through a polar vortex. Paradoxically- we may have global warming to thank for that.,Editorial: Don't stall fuel standards,Business Insider Australia,Times Union,2019-01-31T23:29:00Z,2019-07-31T22:54:00Z,businessinsider.com.au,timesunion.com,https://www.businessinsider.com.au/polar-vortex-hitting-us-might-be-connected-to-global-warming-2019-1,https://www.timesunion.com/opinion/article/Editorial-Don-t-stall-fuel-standards-14271335.php
English981,English970,1,Information-Propagated,The US is suffering through a polar vortex. Paradoxically- we may have global warming to thank for that.,Ocean mixing that drives climate found in surprise location,INSIDER,Daily Mail Online,2019-01-31T23:25:00Z,2019-01-31T23:55:00Z,thisisinsider.com,dailymail.co.uk,https://www.thisisinsider.com/polar-vortex-hitting-us-might-be-connected-to-global-warming-2019-1,https://www.dailymail.co.uk/sciencetech/article-6654619/Ocean-mixing-drives-climate-surprise-location.html
